"Folder","File","Status","Reason","FullPath"
"On Hierarchical Algorithms","Learn Order - HA.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Learn Order - HA.md"
"Algorithms","Algorithm - ACA with Partial Pivoting.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - ACA with Partial Pivoting.md"
"Algorithms","Algorithm - Adaptive Cross Approximation (ACA).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Adaptive Cross Approximation (ACA).md"
"Algorithms","Algorithm - Algebraic Recompression.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Algebraic Recompression.md"
"Algorithms","Algorithm - Exact Rank-k Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Exact Rank-k Addition.md"
"Algorithms","Algorithm - Exact Rank-k Multiplication.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Exact Rank-k Multiplication.md"
"Algorithms","Algorithm - Fast H2-MVM.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Fast H2-MVM.md"
"Algorithms","Algorithm - Formatted Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Formatted Addition.md"
"Algorithms","Algorithm - Formatted Agglomeration.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Formatted Agglomeration.md"
"Algorithms","Algorithm - H-Cholesky Decomposition.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - H-Cholesky Decomposition.md"
"Algorithms","Algorithm - Hp-LU Decomposition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-LU Decomposition.md"
"Algorithms","Algorithm - Hp-Matrix Addition.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Addition.md"
"Algorithms","Algorithm - Hp-Matrix Inversion (Recursive).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Inversion (Recursive).md"
"Algorithms","Algorithm - Hp-Matrix Matrix Multiplication (MMM).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Matrix Multiplication (MMM).md"
"Algorithms","Algorithm - Hp-Matrix Vector Multiplication (MVM).md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Algorithms\Algorithm - Hp-Matrix Vector Multiplication (MVM).md"
"Approximation","Chebyshev Interpolation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Chebyshev Interpolation.md"
"Approximation","Lagrange Interpolation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Lagrange Interpolation.md"
"Approximation","Runge's Phenomenon.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Runge's Phenomenon.md"
"Approximation","Taylor Series Approximation.md","Populated","Content found","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Approximation\Taylor Series Approximation.md"
"Calculations","Bounding Box Diameter Calculation.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Bounding Box Diameter Calculation.md"
"Calculations","Exponential Convergence Rate.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Exponential Convergence Rate.md"
"Calculations","Lebesgue Constant (C_L).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lebesgue Constant (C_L).md"
"Calculations","Lemma - Chebyshev Max Norm.md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Chebyshev Max Norm.md"
"Calculations","Lemma - Cost of Matrix Addition (Lemma 6.2).md","Empty/Template","Contains marker: 'HVault'","C:\Users\darre\OneDrive - hexcoder\Darren\Personal\Backups\Desktop\Learning\TUHH\MyNotes\On Hierarchical Algorithms\Calculations\Lemma - Cost of Matrix Addition (Lemma 6.2).md"
